ds,yhat,yhat_lower,yhat_upper
2019-12-31 21:00:00,19.321382794340543,16.870995299354945,21.693041431552416
2019-12-31 22:00:00,18.875581764665558,16.463538229323778,21.127280694871807
2019-12-31 23:00:00,18.43809796461686,16.10409439510389,20.75599695322789
2020-01-01 00:00:00,17.982729227986795,15.60276833731981,20.296493615460207
2020-01-01 01:00:00,17.562037576468956,15.259492229099793,19.86331970891808
2020-01-01 02:00:00,17.309372123871817,14.94204886414351,19.632415937435606
2020-01-01 03:00:00,17.393801500379425,14.989627584243744,19.605488804668003
2020-01-01 04:00:00,17.94694865033155,15.609808445173483,20.399159444988374
2020-01-01 05:00:00,18.999342739016335,16.530141393940745,21.40056280456226
2020-01-01 06:00:00,20.457959540787343,18.19005837236829,22.98736865956352
2020-01-01 07:00:00,22.131565050468545,19.79086888463515,24.66071807545004
2020-01-01 08:00:00,23.78544790331474,21.250597599118503,26.067110944022502
2020-01-01 09:00:00,25.19843718460568,22.69987560024445,27.495091479646202
2020-01-01 10:00:00,26.20387150413307,23.69103090996972,28.58899170945967
2020-01-01 11:00:00,26.710480500752325,24.268016462561583,29.10292050914118
2020-01-01 12:00:00,26.706888978377464,24.442799299538468,29.17054936349728
2020-01-01 13:00:00,26.252871410247938,23.840270869108277,28.771806065420197
2020-01-01 14:00:00,25.458645983791765,23.003630914624143,27.83141719930892
2020-01-01 15:00:00,24.456295114730484,22.03707908176504,26.864311004857402
2020-01-01 16:00:00,23.372446487589272,20.855799400875874,25.995364095406714
2020-01-01 17:00:00,22.311325221610524,20.005843978248766,24.47995508838537
2020-01-01 18:00:00,21.34950870523736,19.139582874013232,23.63587337530344
2020-01-01 19:00:00,20.534799302440284,18.23866931290145,22.856574995701187
2020-01-01 20:00:00,19.88133963154779,17.48890834556237,22.32946310486502
2020-01-01 21:00:00,19.363309612147876,16.993825380975522,21.817225448628783
2020-01-01 22:00:00,18.92034366536491,16.68383802230422,21.267913626534227
2020-01-01 23:00:00,18.486078461583332,16.08761922053747,20.84013932197486
2020-01-02 23:00:00,18.60369029516081,16.351840539402943,21.0111082496013
2020-01-03 23:00:00,18.57079045126131,16.266679675520702,20.915000338856903
2020-01-04 23:00:00,18.6062161671887,16.021156167024294,20.873034677726448
2020-01-05 23:00:00,18.642893868739016,16.259684876424295,20.922926814999318
2020-01-06 23:00:00,18.64473786156992,16.362634020132997,20.928419469707684
2020-01-07 23:00:00,18.694606847020847,16.383669929269693,20.933244103885137
2020-01-08 23:00:00,18.729509324384534,16.28817084155197,21.105606484838
2020-01-09 23:00:00,18.831765119959776,16.569305074169556,21.416223907799168
2020-01-10 23:00:00,18.781898097070027,16.33380336970882,21.25594023911588
2020-01-11 23:00:00,18.799459311899085,16.43233299116875,21.17995948545683
2020-01-12 23:00:00,18.81811875060138,16.502168155742734,21.152157910913363
2020-01-13 23:00:00,18.80254609606191,16.42403049891228,21.127739103709935
2020-01-14 23:00:00,18.836349035988402,16.40742372760219,21.227034444717397
2020-01-15 23:00:00,18.857260620648553,16.443992610990026,21.296178135125217
2020-01-16 23:00:00,18.94828334877014,16.586801895239347,21.278181559025207
